index,top_ten_hashtags,date
36,"[('Covid_19', 184), ('COVID19', 109), ('coronavirus', 81), ('lockdown', 56), ('covid19', 36), ('Covid19', 27), ('covid_19', 20), ('COVID', 20), ('Lockdown', 17), ('covid', 16)]",2020-04-25
37,"[('Covid_19', 160), ('COVID19', 114), ('coronavirus', 92), ('lockdown', 48), ('covid19', 30), ('Coronavirus', 21), ('StayHomeSaveLives', 20), ('Covid19', 19), ('covidsafe', 12), ('StayHome', 12)]",2020-04-26
38,"[('COVID19', 285), ('coronavirus', 117), ('covid19', 42), ('lockdown', 39), ('Covid_19', 33), ('NHS', 26), ('covid_19', 19), ('StayHome', 19), ('StayHomeSaveLives', 18), ('Covid19', 16)]",2020-04-27
39,"[('COVID19', 342), ('coronavirus', 88), ('lockdown', 44), ('covid19', 43), ('Coronavirus', 25), ('NHS', 24), ('NHSheroes', 23), ('covid_19', 21), ('Covid_19', 21), ('IWMD20', 21)]",2020-04-28
40,"[('COVID19', 353), ('coronavirus', 91), ('covid19', 43), ('lockdown', 39), ('NHS', 25), ('Covid19', 22), ('Covid_19', 16), ('lockdownuk', 16), ('covid_19', 16), ('Coronavirus', 15)]",2020-04-29
41,"[('COVID19', 225), ('coronavirus', 99), ('Covid19', 40), ('lockdown', 32), ('covid19', 31), ('covid_19', 20), ('staysafe', 19), ('Covid_19', 18), ('NHS', 14), ('Coronavirus', 14)]",2020-04-30
42,"[('COVID19', 139), ('coronavirus', 106), ('Covid_19', 96), ('covid19', 51), ('lockdown', 44), ('Covid19', 26), ('COVID__19', 22), ('COVID', 19), ('staysafe', 16), ('NHS', 13)]",2020-05-01
43,"[('COVID__19', 194), ('coronavirus', 80), ('COVID19', 72), ('covid19', 51), ('lockdown', 45), ('Covid19', 19), ('NHS', 15), ('staysafe', 15), ('StayHomeSaveLives', 11), ('COVID', 10)]",2020-05-02
44,"[('COVID__19', 106), ('coronavirus', 89), ('COVID19', 69), ('covid19', 45), ('lockdown', 34), ('Covid19', 25), ('coronavirusuk', 18), ('COVIDー19', 14), ('Covid_19', 14), ('COVID', 12)]",2020-05-03
45,"[('COVID19', 129), ('coronavirus', 80), ('covid19', 45), ('lockdown', 34), ('COVIDー19', 32), ('Covid19', 23), ('Coronavirus', 14), ('NHS', 12), ('covid', 11), ('community', 10)]",2020-05-04
46,"[('COVID19', 190), ('coronavirus', 59), ('covid19', 31), ('lockdown', 24), ('Covid19', 16), ('covid', 14), ('CoronaVirus', 14), ('COVID', 13), ('Coronavirus', 12), ('COVIDー19', 11)]",2020-05-05
47,"[('COVID19', 293), ('coronavirus', 72), ('covid19', 39), ('lockdown', 39), ('Covid_19', 30), ('lockdownextension', 24), ('Covid19', 22), ('Covid19UK', 17), ('COVID', 14), ('covid', 12)]",2020-05-06
48,"[('COVID19', 224), ('coronavirus', 99), ('Covid_19', 67), ('covid19', 44), ('lockdown', 34), ('lockdownextension', 26), ('Covid19', 17), ('staysafe', 16), ('Coronavirus', 14), ('Covid19UK', 14)]",2020-05-07
49,"[('COVID19', 196), ('Covid_19', 57), ('coronavirus', 55), ('VEDay75', 38), ('VEDay', 33), ('covid19', 32), ('lockdown', 24), ('COVID', 17), ('streetparty', 13), ('Glasgow', 13)]",2020-05-08
50,"[('Covid_19', 131), ('COVID19', 103), ('coronavirus', 70), ('covid19', 43), ('lockdownuk', 31), ('lockdown', 30), ('Covid19', 17), ('Coronavirus', 15), ('StayHomeSaveLives', 13), ('Covid', 13)]",2020-05-09
51,"[('COVID19', 461), ('coronavirus', 186), ('BorisJohnson', 66), ('covid19', 55), ('lockdown', 53), ('COVIDIOTS', 51), ('StayAlert', 43), ('StayHomeSaveLives', 32), ('BorisHasFailed', 31), ('stayingalert', 27)]",2020-05-10
52,"[('COVID19', 338), ('coronavirus', 102), ('covid19', 53), ('borisjohnsonspeech', 51), ('lockdown', 44), ('Covid_19', 33), ('stayingalert', 28), ('thanksboris', 25), ('StayAlert', 23), ('BorisHasFailed', 19)]",2020-05-11
53,"[('COVID19', 147), ('coronavirus', 78), ('covid19', 43), ('InternationalNursesDay', 27), ('lockdown', 21), ('Covid19', 19), ('COVIDー19', 14), ('covid', 13), ('COVID', 11), ('Covid_19', 10)]",2020-05-12
54,"[('COVID19', 136), ('coronavirus', 78), ('covid19', 54), ('COVIDー19', 28), ('lockdown', 19), ('pandemic', 18), ('Covid19', 18), ('Coronavirus', 16), ('COVID', 16), ('CoronaVirus', 16)]",2020-05-13
55,"[('COVID19', 200), ('coronavirus', 67), ('covid19', 41), ('Covid19', 27), ('lockdown', 27), ('nhs', 20), ('Covid_19', 18), ('COVID', 16), ('COVIDー19', 14), ('socialdistancing', 12)]",2020-05-14
56,"[('COVID19', 128), ('coronavirus', 77), ('covid19', 38), ('Covid19', 24), ('lockdown', 18), ('COVID', 16), ('Covid_19', 15), ('covid', 11), ('covid_19', 11), ('Coronavirus', 10)]",2020-05-15
57,"[('COVID19', 143), ('coronavirus', 105), ('covid19', 42), ('lockdown', 31), ('Covid_19', 30), ('Covid19', 22), ('staysafe', 14), ('COVID', 12), ('Covid19UK', 12), ('CoronaVirus', 10)]",2020-05-16
