,date,county,sentiment,New County,viable,id
17184,2020-09-15,Bedfordshire,0.7,Bedfordshire,1,0
17472,2020-09-18,Bedfordshire,0.6,Bedfordshire,1,0
17280,2020-09-16,Bedfordshire,0.8888888888888888,Bedfordshire,1,0
16896,2020-09-12,Bedfordshire,0.0,Bedfordshire,1,0
18336,2020-09-27,Bedfordshire,0.7058823529411765,Bedfordshire,1,0
16320,2020-09-06,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
18432,2020-09-28,Bedfordshire,0.8,Bedfordshire,1,0
15360,2020-08-27,Bedfordshire,-0.14285714285714285,Bedfordshire,1,0
19296,2020-10-07,Bedfordshire,0.55,Bedfordshire,1,0
15456,2020-08-28,Bedfordshire,1.0,Bedfordshire,1,0
19200,2020-10-06,Bedfordshire,0.875,Bedfordshire,1,0
15552,2020-08-29,Bedfordshire,0.5,Bedfordshire,1,0
19104,2020-10-05,Bedfordshire,0.46153846153846156,Bedfordshire,1,0
15648,2020-08-30,Bedfordshire,0.6,Bedfordshire,1,0
19008,2020-10-04,Bedfordshire,0.6923076923076923,Bedfordshire,1,0
15744,2020-08-31,Bedfordshire,0.375,Bedfordshire,1,0
18912,2020-10-03,Bedfordshire,0.45454545454545453,Bedfordshire,1,0
15840,2020-09-01,Bedfordshire,0.5714285714285714,Bedfordshire,1,0
18816,2020-10-02,Bedfordshire,0.631578947368421,Bedfordshire,1,0
15936,2020-09-02,Bedfordshire,1.0,Bedfordshire,1,0
18720,2020-10-01,Bedfordshire,0.3,Bedfordshire,1,0
16032,2020-09-03,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
18624,2020-09-30,Bedfordshire,0.8,Bedfordshire,1,0
16128,2020-09-04,Bedfordshire,1.0,Bedfordshire,1,0
18528,2020-09-29,Bedfordshire,0.75,Bedfordshire,1,0
16224,2020-09-05,Bedfordshire,0.7777777777777778,Bedfordshire,1,0
15264,2020-08-26,Bedfordshire,0.3333333333333333,Bedfordshire,1,0
384,2020-03-24,Bedfordshire,0.8,Bedfordshire,1,0
13152,2020-08-04,Bedfordshire,1.0,Bedfordshire,1,0
13056,2020-08-03,Bedfordshire,0.8571428571428571,Bedfordshire,1,0
24768,2020-12-03,Bedfordshire,0.18181818181818182,Bedfordshire,1,0
10080,2020-07-03,Bedfordshire,0.7272727272727273,Bedfordshire,1,0
24672,2020-12-02,Bedfordshire,0.4166666666666667,Bedfordshire,1,0
10176,2020-07-04,Bedfordshire,0.8888888888888888,Bedfordshire,1,0
24576,2020-12-01,Bedfordshire,0.65,Bedfordshire,1,0
10272,2020-07-05,Bedfordshire,0.25,Bedfordshire,1,0
24480,2020-11-30,Bedfordshire,1.0,Bedfordshire,1,0
10368,2020-07-06,Bedfordshire,1.0,Bedfordshire,1,0
9984,2020-07-02,Bedfordshire,0.5714285714285714,Bedfordshire,1,0
24384,2020-11-29,Bedfordshire,0.0,Bedfordshire,1,0
24288,2020-11-28,Bedfordshire,0.5,Bedfordshire,1,0
10560,2020-07-08,Bedfordshire,1.0,Bedfordshire,1,0
24192,2020-11-27,Bedfordshire,0.5882352941176471,Bedfordshire,1,0
10656,2020-07-09,Bedfordshire,1.0,Bedfordshire,1,0
24096,2020-11-26,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
10752,2020-07-10,Bedfordshire,0.7272727272727273,Bedfordshire,1,0
24000,2020-11-25,Bedfordshire,0.4,Bedfordshire,1,0
10848,2020-07-11,Bedfordshire,0.5555555555555556,Bedfordshire,1,0
10464,2020-07-07,Bedfordshire,0.9285714285714286,Bedfordshire,1,0
24864,2020-12-04,Bedfordshire,0.7222222222222222,Bedfordshire,1,0
9888,2020-07-01,Bedfordshire,0.7272727272727273,Bedfordshire,1,0
24960,2020-12-05,Bedfordshire,0.5882352941176471,Bedfordshire,1,0
25920,2020-12-15,Bedfordshire,0.8421052631578947,Bedfordshire,1,0
9024,2020-06-22,Bedfordshire,0.75,Bedfordshire,1,0
25824,2020-12-14,Bedfordshire,0.7333333333333333,Bedfordshire,1,0
9120,2020-06-23,Bedfordshire,0.7894736842105263,Bedfordshire,1,0
25728,2020-12-13,Bedfordshire,0.5555555555555556,Bedfordshire,1,0
25632,2020-12-12,Bedfordshire,0.5714285714285714,Bedfordshire,1,0
9216,2020-06-24,Bedfordshire,0.7,Bedfordshire,1,0
25536,2020-12-11,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
9312,2020-06-25,Bedfordshire,0.8333333333333334,Bedfordshire,1,0
25440,2020-12-10,Bedfordshire,0.8,Bedfordshire,1,0
9408,2020-06-26,Bedfordshire,0.25,Bedfordshire,1,0
25344,2020-12-09,Bedfordshire,0.7692307692307693,Bedfordshire,1,0
9504,2020-06-27,Bedfordshire,0.9166666666666666,Bedfordshire,1,0
25248,2020-12-08,Bedfordshire,0.5833333333333334,Bedfordshire,1,0
9600,2020-06-28,Bedfordshire,0.8,Bedfordshire,1,0
25152,2020-12-07,Bedfordshire,0.8571428571428571,Bedfordshire,1,0
9696,2020-06-29,Bedfordshire,1.0,Bedfordshire,1,0
25056,2020-12-06,Bedfordshire,1.0,Bedfordshire,1,0
9792,2020-06-30,Bedfordshire,0.75,Bedfordshire,1,0
23904,2020-11-24,Bedfordshire,0.5,Bedfordshire,1,0
21696,2020-11-01,Bedfordshire,0.5,Bedfordshire,1,0
10944,2020-07-12,Bedfordshire,0.8333333333333334,Bedfordshire,1,0
11040,2020-07-13,Bedfordshire,0.42857142857142855,Bedfordshire,1,0
12192,2020-07-25,Bedfordshire,0.75,Bedfordshire,1,0
22560,2020-11-10,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
12288,2020-07-26,Bedfordshire,0.8888888888888888,Bedfordshire,1,0
22464,2020-11-09,Bedfordshire,0.4444444444444444,Bedfordshire,1,0
12384,2020-07-27,Bedfordshire,0.6363636363636364,Bedfordshire,1,0
22368,2020-11-08,Bedfordshire,1.0,Bedfordshire,1,0
12480,2020-07-28,Bedfordshire,0.5,Bedfordshire,1,0
22272,2020-11-07,Bedfordshire,0.8,Bedfordshire,1,0
22656,2020-11-11,Bedfordshire,0.25,Bedfordshire,1,0
12576,2020-07-29,Bedfordshire,0.7647058823529411,Bedfordshire,1,0
12672,2020-07-30,Bedfordshire,1.0,Bedfordshire,1,0
22080,2020-11-05,Bedfordshire,0.3333333333333333,Bedfordshire,1,0
12768,2020-07-31,Bedfordshire,0.8571428571428571,Bedfordshire,1,0
21984,2020-11-04,Bedfordshire,1.0,Bedfordshire,1,0
12864,2020-08-01,Bedfordshire,0.2727272727272727,Bedfordshire,1,0
21888,2020-11-03,Bedfordshire,0.6,Bedfordshire,1,0
12960,2020-08-02,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
21792,2020-11-02,Bedfordshire,0.625,Bedfordshire,1,0
22176,2020-11-06,Bedfordshire,0.6,Bedfordshire,1,0
12096,2020-07-24,Bedfordshire,0.5,Bedfordshire,1,0
22752,2020-11-12,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
12000,2020-07-23,Bedfordshire,0.8125,Bedfordshire,1,0
23712,2020-11-22,Bedfordshire,0.5714285714285714,Bedfordshire,1,0
11136,2020-07-14,Bedfordshire,0.25,Bedfordshire,1,0
23616,2020-11-21,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
11232,2020-07-15,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
23520,2020-11-20,Bedfordshire,0.5714285714285714,Bedfordshire,1,0
11328,2020-07-16,Bedfordshire,0.5555555555555556,Bedfordshire,1,0
23424,2020-11-19,Bedfordshire,0.9090909090909091,Bedfordshire,1,0
